index,ticker,name,cik,sector,sub_industry,industry_group
289,LMT,Lockheed Martin,936468,Industrials,Aerospace & Defense,Capital Goods
290,L,Loews Corporation,60086,Financials,Multi-line Insurance,Insurance
291,LOW,Lowe's,60667,Consumer Discretionary,Home Improvement Retail,Consumer Discretionary Distribution & Retail
292,LULU,Lululemon Athletica,1397187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Consumer Durables & Apparel
293,LYB,LyondellBasell,1489393,Materials,Specialty Chemicals,Materials
294,MTB,M&T Bank,36270,Financials,Regional Banks,Banks
295,MPC,Marathon Petroleum,1510295,Energy,Oil & Gas Refining & Marketing,Energy
296,MAR,Marriott International,1048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
297,MMC,Marsh McLennan,62709,Financials,Insurance Brokers,Insurance
298,MLM,Martin Marietta Materials,916076,Materials,Construction Materials,Materials
299,MAS,Masco,62996,Industrials,Building Products,Capital Goods
300,MA,Mastercard,1141391,Financials,Transaction & Payment Processing Services,Financial Services
301,MTCH,Match Group,891103,Communication Services,Interactive Media & Services,Media & Entertainment
302,MKC,McCormick & Company,63754,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
303,MCD,McDonald's,63908,Consumer Discretionary,Restaurants,Consumer Services
304,MCK,McKesson Corporation,927653,Health Care,Health Care Distributors,Health Care Equipment & Services
305,MDT,Medtronic,1613103,Health Care,Health Care Equipment,Health Care Equipment & Services
306,MRK,Merck & Co.,310158,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
307,META,Meta Platforms,1326801,Communication Services,Interactive Media & Services,Media & Entertainment
308,MET,MetLife,1099219,Financials,Life & Health Insurance,Insurance
309,MTD,Mettler Toledo,1037646,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
310,MGM,MGM Resorts,789570,Consumer Discretionary,Casinos & Gaming,Consumer Services
311,MCHP,Microchip Technology,827054,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
312,MU,Micron Technology,723125,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
